CMDLINE lindemann tests/test_example/
MEM 0.730469 1642586999.5496
MEM 23.046875 1642586999.6499
MEM 36.277344 1642586999.7502
MEM 42.113281 1642586999.8505
MEM 82.019531 1642586999.9509
MEM 114.210938 1642587000.0512
MEM 119.519531 1642587000.1515
MEM 121.039062 1642587000.2518
MEM 124.578125 1642587000.3522
MEM 125.648438 1642587000.4525
MEM 128.273438 1642587000.5528
MEM 130.121094 1642587000.6531
MEM 130.882812 1642587000.7534
MEM 131.515625 1642587000.8537
MEM 174.464844 1642587000.9541
MEM 217.183594 1642587001.0545
MEM 263.449219 1642587001.1548
MEM 273.171875 1642587001.2553
